Mode	X(m)	Y(m)	Z(m)	Power(W)	tParam
1	0.051212	-0.055389	0.000000	0	0.0
0	0.051325	-0.055365	0.000000	350	0.802
0	0.052366	-0.055097	0.000000	0	0.723
0	0.050141	-0.055490	0.000000	350	0.833
0	0.049712	-0.055484	0.000000	0	0.11
0	0.052812	-0.054936	0.000000	350	0.835
0	0.053122	-0.054800	0.000000	0	0.069
0	0.049343	-0.055466	0.000000	350	0.833
0	0.049052	-0.055436	0.000000	0	0.051
0	0.053383	-0.054669	0.000000	350	0.833
0	0.053621	-0.054544	0.000000	0	0.042
0	0.048796	-0.055395	0.000000	350	0.833
0	0.048558	-0.055353	0.000000	0	0.034
0	0.053836	-0.054425	0.000000	350	0.833
0	0.054032	-0.054306	0.000000	0	0.03
0	0.048344	-0.055311	0.000000	350	0.833
0	0.048124	-0.055264	0.000000	0	0.028
0	0.054210	-0.054193	0.000000	350	0.833
0	0.054353	-0.054086	0.000000	0	0.021
0	0.047951	-0.055210	0.000000	350	0.833
0	0.047755	-0.055162	0.000000	0	0.023
0	0.054514	-0.053972	0.000000	350	0.834
0	0.054639	-0.053865	0.000000	0	0.018
0	0.047606	-0.055109	0.000000	350	0.834
0	0.047439	-0.055055	0.000000	0	0.018
0	0.054782	-0.053758	0.000000	350	0.833
0	0.054901	-0.053651	0.000000	0	0.016
0	0.047303	-0.054996	0.000000	350	0.833
0	0.047130	-0.054942	0.000000	0	0.017
0	0.055032	-0.053550	0.000000	350	0.834
0	0.055127	-0.053449	0.000000	0	0.013
0	0.046981	-0.054883	0.000000	350	0.832
0	0.046874	-0.054817	0.000000	0	0.011
0	0.055234	-0.053348	0.000000	350	0.832
0	0.055347	-0.053241	0.000000	0	0.014
0	0.046737	-0.054758	0.000000	350	0.834
0	0.046618	-0.054698	0.000000	0	0.011
0	0.055430	-0.053145	0.000000	350	0.832
0	0.055531	-0.053044	0.000000	0	0.012
0	0.046493	-0.054639	0.000000	350	0.833
0	0.046380	-0.054573	0.000000	0	0.011
0	0.055615	-0.052943	0.000000	350	0.833
0	0.055698	-0.052848	0.000000	0	0.01
0	0.046273	-0.054508	0.000000	350	0.832
0	0.046160	-0.054448	0.000000	0	0.01
0	0.055769	-0.052753	0.000000	350	0.833
0	0.055853	-0.052652	0.000000	0	0.01
0	0.046047	-0.054383	0.000000	350	0.833
0	0.045946	-0.054318	0.000000	0	0.009
0	0.055924	-0.052556	0.000000	350	0.833
0	0.056001	-0.052461	0.000000	0	0.009
0	0.045845	-0.054252	0.000000	350	0.833
0	0.045732	-0.054187	0.000000	0	0.01
0	0.056073	-0.052366	0.000000	350	0.833
0	0.056138	-0.052271	0.000000	0	0.008
0	0.045642	-0.054121	0.000000	350	0.833
0	0.045547	-0.054056	0.000000	0	0.008
0	0.056216	-0.052176	0.000000	350	0.833
0	0.056269	-0.052080	0.000000	0	0.008
0	0.045464	-0.053984	0.000000	350	0.833
0	0.045363	-0.053919	0.000000	0	0.008
0	0.056335	-0.051985	0.000000	350	0.833
0	0.056388	-0.051890	0.000000	0	0.008
0	0.045291	-0.053847	0.000000	350	0.832
0	0.045208	-0.053782	0.000000	0	0.007
0	0.056454	-0.051801	0.000000	350	0.833
0	0.056495	-0.051706	0.000000	0	0.007
0	0.045119	-0.053717	0.000000	350	0.833
0	0.045047	-0.053645	0.000000	0	0.007
0	0.056543	-0.051616	0.000000	350	0.833
0	0.056602	-0.051521	0.000000	0	0.007
0	0.044970	-0.053574	0.000000	350	0.833
0	0.044875	-0.053508	0.000000	0	0.008
0	0.056644	-0.051432	0.000000	350	0.833
0	0.056698	-0.051337	0.000000	0	0.007
0	0.044815	-0.053437	0.000000	350	0.832
0	0.044732	-0.053366	0.000000	0	0.007
0	0.056727	-0.051253	0.000000	350	0.833
0	0.056781	-0.051158	0.000000	0	0.007
0	0.044673	-0.053294	0.000000	350	0.833
0	0.044589	-0.053223	0.000000	0	0.007
0	0.056811	-0.051069	0.000000	350	0.833
0	0.056876	-0.050974	0.000000	0	0.007
0	0.044530	-0.053151	0.000000	350	0.833
0	0.044452	-0.053080	0.000000	0	0.007
0	0.056900	-0.050890	0.000000	350	0.833
0	0.056941	-0.050795	0.000000	0	0.006
0	0.044405	-0.053009	0.000000	350	0.833
0	0.044316	-0.052937	0.000000	0	0.007
0	0.056977	-0.050706	0.000000	350	0.833
0	0.057001	-0.050617	0.000000	0	0.006
0	0.044274	-0.052866	0.000000	350	0.832
0	0.044203	-0.052794	0.000000	0	0.006
0	0.057037	-0.050527	0.000000	350	0.833
0	0.057072	-0.050438	0.000000	0	0.006
0	0.044161	-0.052717	0.000000	350	0.833
0	0.044078	-0.052652	0.000000	0	0.006
0	0.057090	-0.050355	0.000000	350	0.833
0	0.057126	-0.050266	0.000000	0	0.006
0	0.044036	-0.052574	0.000000	350	0.833
0	0.043971	-0.052503	0.000000	0	0.006
0	0.057162	-0.050176	0.000000	350	0.833
0	0.057179	-0.050087	0.000000	0	0.005
0	0.043917	-0.052425	0.000000	350	0.833
0	0.043869	-0.052354	0.000000	0	0.005
0	0.057197	-0.050004	0.000000	350	0.833
0	0.057245	-0.049909	0.000000	0	0.006
0	0.043822	-0.052277	0.000000	350	0.833
0	0.043762	-0.052205	0.000000	0	0.005
0	0.057251	-0.049825	0.000000	350	0.833
0	0.057281	-0.049736	0.000000	0	0.005
0	0.043727	-0.052128	0.000000	350	0.832
0	0.043655	-0.052057	0.000000	0	0.006
0	0.057298	-0.049653	0.000000	350	0.833
0	0.057310	-0.049563	0.000000	0	0.005
0	0.043614	-0.051979	0.000000	350	0.833
0	0.043572	-0.051908	0.000000	0	0.005
0	0.057340	-0.049480	0.000000	350	0.833
0	0.057346	-0.049391	0.000000	0	0.005
0	0.043530	-0.051830	0.000000	350	0.833
0	0.043477	-0.051753	0.000000	0	0.005
0	0.057352	-0.049308	0.000000	350	0.833
0	0.057394	-0.049218	0.000000	0	0.005
0	0.043435	-0.051682	0.000000	350	0.833
0	0.043399	-0.051604	0.000000	0	0.005
0	0.057394	-0.049135	0.000000	350	0.833
0	0.057412	-0.049046	0.000000	0	0.005
0	0.043358	-0.051527	0.000000	350	0.833
0	0.043310	-0.051450	0.000000	0	0.005
0	0.057423	-0.048963	0.000000	350	0.833
0	0.057429	-0.048879	0.000000	0	0.005
0	0.043280	-0.051372	0.000000	350	0.833
0	0.043233	-0.051301	0.000000	0	0.005
0	0.057429	-0.048796	0.000000	350	0.833
0	0.057453	-0.048707	0.000000	0	0.005
0	0.043203	-0.051224	0.000000	350	0.833
0	0.043167	-0.051146	0.000000	0	0.005
0	0.057435	-0.048629	0.000000	350	0.833
0	0.057477	-0.048540	0.000000	0	0.005
0	0.043149	-0.051063	0.000000	350	0.833
0	0.043084	-0.050992	0.000000	0	0.005
0	0.057447	-0.048463	0.000000	350	0.832
0	0.057483	-0.048373	0.000000	0	0.005
0	0.043072	-0.050914	0.000000	350	0.833
0	0.043024	-0.050837	0.000000	0	0.005
0	0.057471	-0.048290	0.000000	350	0.833
0	0.057477	-0.048207	0.000000	0	0.004
0	0.043001	-0.050759	0.000000	350	0.833
0	0.042971	-0.050682	0.000000	0	0.004
0	0.057471	-0.048124	0.000000	350	0.832
0	0.057489	-0.048034	0.000000	0	0.005
0	0.042959	-0.050599	0.000000	350	0.833
0	0.042900	-0.050527	0.000000	0	0.005
0	0.057465	-0.047957	0.000000	350	0.833
0	0.057495	-0.047868	0.000000	0	0.005
0	0.042882	-0.050444	0.000000	350	0.833
0	0.042858	-0.050367	0.000000	0	0.004
0	0.057459	-0.047790	0.000000	350	0.833
0	0.057489	-0.047701	0.000000	0	0.005
0	0.042846	-0.050283	0.000000	350	0.833
0	0.042792	-0.050212	0.000000	0	0.005
0	0.057465	-0.047624	0.000000	350	0.833
0	0.057471	-0.047541	0.000000	0	0.004
0	0.042792	-0.050129	0.000000	350	0.833
0	0.042757	-0.050051	0.000000	0	0.004
0	0.057453	-0.047463	0.000000	350	0.832
0	0.057465	-0.047374	0.000000	0	0.005
0	0.042739	-0.049974	0.000000	350	0.833
0	0.042715	-0.049891	0.000000	0	0.005
0	0.057441	-0.047297	0.000000	350	0.833
0	0.057447	-0.047213	0.000000	0	0.004
0	0.042697	-0.049813	0.000000	350	0.833
0	0.042679	-0.049730	0.000000	0	0.004
0	0.057417	-0.047136	0.000000	350	0.832
0	0.057435	-0.047047	0.000000	0	0.005
0	0.042673	-0.049653	0.000000	350	0.833
0	0.042632	-0.049575	0.000000	0	0.005
0	0.057412	-0.046969	0.000000	350	0.833
0	0.057400	-0.046886	0.000000	0	0.004
0	0.042632	-0.049492	0.000000	350	0.833
0	0.042602	-0.049415	0.000000	0	0.004
0	0.057388	-0.046809	0.000000	350	0.833
0	0.057370	-0.046725	0.000000	0	0.004
0	0.042596	-0.049331	0.000000	350	0.832
0	0.042578	-0.049248	0.000000	0	0.004
0	0.057340	-0.046648	0.000000	350	0.833
0	0.057358	-0.046559	0.000000	0	0.005
0	0.042572	-0.049171	0.000000	350	0.833
0	0.042548	-0.049087	0.000000	0	0.005
0	0.057328	-0.046481	0.000000	350	0.833
0	0.057310	-0.046404	0.000000	0	0.004
0	0.042548	-0.049004	0.000000	350	0.833
0	0.042525	-0.048927	0.000000	0	0.004
0	0.057281	-0.046327	0.000000	350	0.832
0	0.057281	-0.046243	0.000000	0	0.004
0	0.042531	-0.048844	0.000000	350	0.833
0	0.042507	-0.048766	0.000000	0	0.004
0	0.057245	-0.046166	0.000000	350	0.833
0	0.057245	-0.046083	0.000000	0	0.004
0	0.042519	-0.048677	0.000000	350	0.833
0	0.042483	-0.048600	0.000000	0	0.004
0	0.057203	-0.046005	0.000000	350	0.833
0	0.057197	-0.045922	0.000000	0	0.004
0	0.042489	-0.048516	0.000000	350	0.833
0	0.042483	-0.048433	0.000000	0	0.004
0	0.057150	-0.045851	0.000000	350	0.833
0	0.057156	-0.045767	0.000000	0	0.004
0	0.042489	-0.048350	0.000000	350	0.833
0	0.042471	-0.048272	0.000000	0	0.004
0	0.057114	-0.045690	0.000000	350	0.833
0	0.057102	-0.045607	0.000000	0	0.004
0	0.042477	-0.048189	0.000000	350	0.833
0	0.042477	-0.048106	0.000000	0	0.004
0	0.057066	-0.045529	0.000000	350	0.833
0	0.057037	-0.045452	0.000000	0	0.004
0	0.042489	-0.048017	0.000000	350	0.833
0	0.042459	-0.047939	0.000000	0	0.004
0	0.057007	-0.045375	0.000000	350	0.833
0	0.056983	-0.045297	0.000000	0	0.004
0	0.042471	-0.047856	0.000000	350	0.833
0	0.042477	-0.047773	0.000000	0	0.004
0	0.056947	-0.045220	0.000000	350	0.833
0	0.056918	-0.045143	0.000000	0	0.004
0	0.042495	-0.047683	0.000000	350	0.832
0	0.042465	-0.047606	0.000000	0	0.004
0	0.056876	-0.045065	0.000000	350	0.833
0	0.056858	-0.044982	0.000000	0	0.005
0	0.042489	-0.047517	0.000000	350	0.833
0	0.042495	-0.047433	0.000000	0	0.004
0	0.056811	-0.044911	0.000000	350	0.833
0	0.056787	-0.044833	0.000000	0	0.004
0	0.042501	-0.047350	0.000000	350	0.833
0	0.042507	-0.047267	0.000000	0	0.005
0	0.056739	-0.044756	0.000000	350	0.833
0	0.056715	-0.044679	0.000000	0	0.004
0	0.042531	-0.047178	0.000000	350	0.834
0	0.042519	-0.047100	0.000000	0	0.004
0	0.056656	-0.044607	0.000000	350	0.833
0	0.056638	-0.044524	0.000000	0	0.005
0	0.042542	-0.047011	0.000000	350	0.833
0	0.042548	-0.046928	0.000000	0	0.005
0	0.056584	-0.044452	0.000000	350	0.833
0	0.056549	-0.044375	0.000000	0	0.005
0	0.042572	-0.046838	0.000000	350	0.833
0	0.042578	-0.046755	0.000000	0	0.005
0	0.056501	-0.044298	0.000000	350	0.833
0	0.056465	-0.044220	0.000000	0	0.005
0	0.042608	-0.046666	0.000000	350	0.833
0	0.042596	-0.046583	0.000000	0	0.005
0	0.056394	-0.044149	0.000000	350	0.833
0	0.056388	-0.044072	0.000000	0	0.004
0	0.042650	-0.046493	0.000000	350	0.833
0	0.042626	-0.046410	0.000000	0	0.005
0	0.056311	-0.044000	0.000000	350	0.833
0	0.056287	-0.043923	0.000000	0	0.005
0	0.042667	-0.046321	0.000000	350	0.833
0	0.042656	-0.046237	0.000000	0	0.005
0	0.056222	-0.043852	0.000000	350	0.833
0	0.056180	-0.043774	0.000000	0	0.005
0	0.042709	-0.046148	0.000000	350	0.833
0	0.042727	-0.046065	0.000000	0	0.005
0	0.056114	-0.043703	0.000000	350	0.833
0	0.056085	-0.043625	0.000000	0	0.005
0	0.042763	-0.045970	0.000000	350	0.833
0	0.042769	-0.045886	0.000000	0	0.005
0	0.056019	-0.043554	0.000000	350	0.833
0	0.055972	-0.043477	0.000000	0	0.005
0	0.042816	-0.045797	0.000000	350	0.833
0	0.042822	-0.045714	0.000000	0	0.005
0	0.055906	-0.043405	0.000000	350	0.832
0	0.055870	-0.043328	0.000000	0	0.005
0	0.042864	-0.045625	0.000000	350	0.833
0	0.042876	-0.045535	0.000000	0	0.005
0	0.055787	-0.043257	0.000000	350	0.833
0	0.055740	-0.043185	0.000000	0	0.005
0	0.042929	-0.045446	0.000000	350	0.833
0	0.042935	-0.045357	0.000000	0	0.005
0	0.055668	-0.043114	0.000000	350	0.833
0	0.055615	-0.043042	0.000000	0	0.005
0	0.042995	-0.045268	0.000000	350	0.833
0	0.043001	-0.045184	0.000000	0	0.005
0	0.055543	-0.042971	0.000000	350	0.833
0	0.055484	-0.042900	0.000000	0	0.006
0	0.043066	-0.045089	0.000000	350	0.833
0	0.043096	-0.045000	0.000000	0	0.006
0	0.055406	-0.042828	0.000000	350	0.833
0	0.055371	-0.042751	0.000000	0	0.005
0	0.043143	-0.044905	0.000000	350	0.833
0	0.043179	-0.044815	0.000000	0	0.006
0	0.055270	-0.042685	0.000000	350	0.833
